intervention_id,name,id_priority,covid_overlap,n_on_street,n_on_street_pre_post,n_any_match,n_any_pre_post,on_street_ids,on_street_descs,usable_now
BCN-2020-PAUCLARIS,Pau Claris bike lane,C,yes,4,3,6,5,4044;4059;4061;4091,PAU CLARIS - PROVENÇA  (sentit mar) | PAU CLARIS - VALÈNCIA  (sentit mar) | PAU CLARIS - CONSELL DE CENT  (sentit mar) | PAU CLARIS - CASP (sentit mar),yes_on_street
BCN-2020-INDUSTRIA,Carrer d'Indústria lane cut,C,yes,1,1,2,2,6007,INDÚSTRIA - NÀPOLS  (sentit Besòs),yes_on_street
BCN-2020-VALENCIA,Carrer de València bike lane,C,yes,7,7,13,12,4028;4032;4047;4063;4073;4085;7033,VALÈNCIA - CASANOVA | VALÈNCIA - SARDENYA  (sentit Besòs) | VALÈNCIA - GIRONA | VALÈNCIA - PAU CLARIS | VALÈNCIA - RAMBLA DE CATALUNYA | VALÈNCIA - DOS DE MAIG  (sentit Besòs) | VALÈNCIA - TER  (sentit Besòs),yes_on_street
BCN-2020-ARAGO-S2,Carrer d'Aragó bike-lane stage 2,C,yes,11,9,14,12,2006;4029;4053;4057;4076;4077;4079;10001;10005;4104;4109,ARAGÓ - ENTENÇA (sentit Llobregat) | ARAGÓ - MUNTANER (sentit Llobregat) | ARAGÓ - RAMBLA DE CATALUNYA (sentit Llobregat) | ARAGÓ - INDEPENDÈNCIA (sentit Llobregat) | ARAGÓ - PADILLA (sentit Llobregat) | ARAGÓ - NÀPOLS (sentit Llobregat) | ARAGÓ - BAILÈN (sentit Llobregat) | ARAGÓ - NAVAS (Llobregat) | ARAGÓ - BILBAO (Besòs) | ARAGÓ - COMTE D'URGELL (sentit Llobregat) | ARAGÓ - MARINA (sentit Llobregat),yes_on_street
BCN-2020-GRANVIA,Gran Via extra bus lane,C,yes,18,16,21,19,1032;1033;3003;3004;3006;3007;3008;3009;3011;3016;3017;4023;4035;4037;4062;4068;4082;5030,GRAN VÍA CARLES III - TRAV. DE LES CORTS (Pujada) | GRAN VÍA CARLES III - TRAV. DE LES CORTS (Baixada) | GRAN VIA - VILAMARÍ  (sentit Besòs) | GRAN VIA - ROCAFORT  (sentit Besòs) | GRAN VIA - VILADOMAT  (sentit Besòs) | GRAN VIA - FARELL (Sortida) | GRAN VIA - MOIANÈS (Sortida) | GRAN VIA - QUÍMICA (Entrada) | GRAN VIA - TRAJÀ (Entrada) | GRAN VIA - MÈXIC (Lateral Entrada) | GRAN VIA - QUÍMICA (Sortida) | GRAN VIA - VILLARROEL (sentit Besòs) | GRAN VIA - PL. UNIVERSITAT  (sentit Besòs) | GRAN VIA - LEPANT (Besòs) | GRAN VIA - PAU CLARIS (sentit Besós) | GRAN VIA - GIRONA | GRAN VIA - NÀPOLS (sentit Besós) | GRAN VIA - RBLA. POBLENOU (Entrada),yes_on_street
BCN-2020-RONDAUNI,Ronda de la Universitat bus-priority,C,yes,1,1,2,2,5011,RONDA UNIVERSITAT - PL. CATALUNYA  (sentit Llobregat),yes_on_street
BCN-2020-PLUNI,Plaça Universitat lane cut,C,yes,1,1,2,2,4034,PL. UNIVERSITAT - PELAI (Llobregat),yes_on_street
BCN-2021-PELAI-TAC,Pelai tactical extra sidewalk,C,yes,2,2,3,3,4070;5014,PELAI - RONDA UNIVERSITAT  (sentit Besòs) | PELAI - BALMES,yes_on_street
BCN-2020-ROCAFORT-TAC,Rocafort tactical (no counter in Nello-Deakin),C,yes,1,1,3,3,3024,ROCAFORT - TAMARIT (mar),yes_on_street
BCN-2020-CASTILLEJOS-TAC,Castillejos tactical (no counter in Nello-Deakin),C,yes,0,0,3,3,,,yes_cross_only
BCN-2022-EIX-CONSELLDECENT,Eix Verd Consell de Cent (permanent),A,none,2,1,12,7,4056;4067,CONSELL DE CENT - CASTILLEJOS | CONSELL DE CENT - BRUC (sentit Besòs),yes_on_street
BCN-2022-EIX-GIRONA,Eix Verd Girona (permanent),A,none,1,0,5,3,4066,GIRONA - CONSELL DE CENT (sentit muntanaya),yes_cross_only
BCN-2022-EIX-ROCAFORT,Eix Verd Rocafort (permanent),A,none,1,1,3,3,3024,ROCAFORT - TAMARIT (mar),yes_on_street
BCN-2022-EIX-BORRELL,Eix Verd Comte Borrell (permanent; Eixample stretch),A,none,1,1,3,3,3032,COMTE BORRELL- MARQUÈS DE CAMPO SAGRADO  (sentit mar),yes_on_street
BCN-2022-EIX-SQUARES,Eixos Verds four squares,A,none,0,0,0,0,,,no
BCN-2022-PIMARGALL,Pi i Margall civic / green axis,A,none,2,0,2,0,6027;6028,PI I MARGALL - SECRETARI COLOMA (Pujada) | PI I MARGALL - SECRETARI COLOMA (Baixada),maybe
BCN-2022-VIALAIETANA,Via Laietana reform (phased),F,none,8,1,8,1,5002;5009;5022;5023;5031;5032;5033;5034,VIA LAIETANA - MANRESA (Baixada) | VIA LAIETANA - ANGEL BAIXERAS (Pujada) | VIA LAIETANA - COMTAL (Pujada) | VIA LAIETANA - PL. URQUINAONA (Baixada) | VIA LAIETANA - DR. JOAQUIM POU (baixada) | VIA LAIETANA - PL. ANTONI MAURA (pujada) | VIA LAIETANA - RAMON MAS (pujada) | VIA LAIETANA - FONTANELLA (baixada),maybe
BCN-GLORIES,Plaça de les Glòries surface park over tunnels,F,partial,3,0,3,0,30001;30002;30005,TUNEL GLÒRIES SENTIT LLOBREGAT - BOCA ENTRADA | TUNEL GLÒRIES SENTIT BESÒS - BOCA ENTRADA | TUNEL GLÒRIES SENTIT BESÒS - SORTIDA BILBAO,maybe
BCN-MERIDIANA,Avinguda Meridiana transformation (phased),F,partial,18,14,19,15,4016;4018;7002;7003;7005;7007;7008;7009;7010;7011;7012;7017;7022;7023;7037;7038;7039;7040,AV. MERIDIANA - CASTILLEJOS (Pujada) | AV. MERIDIANA - LEPANT (Baixada) | AV. MERIDIANA - CONCEPCIÓ ARENAL (Entrada) | AV. MERIDIANA - CARDENAL TEDESCHINI (Sortida) | AV. MERIDIANA - NAVAS DE TOLOSA (Entrada) | AV. MERIDIANA - CONSELL DE CENT (Entrada) | AV. MERIDIANA - GARCILASO (Sortida) | AV. MERIDIANA - NAVAS DE TOLOSA (Sortida) | AV. MERIDIANA - SANT ANTONI MARIA CLARET (Entrada) | AV. MERIDIANA  - ROSSELLÓ I PORCEL (Sortida) | AV. MERIDIANA - ROSSELLÓ I PORCEL (Entrada) | AV. MERIDIANA - CLOT (Sortida) | AV. MERIDIANA - RIO DE JANEIRO (Entrada) | AV. MERIDIANA - PG. SANTA COLOMA (Sortida) | MERIDIANA - VALÈNCIA (SORTIDA) | MERIDIANA - VALÈNCIA (ENTRADA) | AV. MERIDIANA - ROSSELLÓ I PORCEL (sentit Llobregat) | AV. MERIDIANA - ESPRONCEDA (sortida),maybe
BCN-2023-PELAI-REVISE,Pelai tactical revision (partial reversal),C,none,2,2,3,3,4070;5014,PELAI - RONDA UNIVERSITAT  (sentit Besòs) | PELAI - BALMES,yes_on_street
BCN-2025-SANTANTONI-DEF,Sant Antoni definitive green urbanisation (planned),E,none,1,0,4,0,3032,COMTE BORRELL- MARQUÈS DE CAMPO SAGRADO  (sentit mar),maybe
BCN-2025-22AT-AXES,22@ flexible green axes (planned),E,none,3,0,10,0,5020;5026;5027,ALMOGÀVERS - ROGER DE FLOR  (sentit Llobregat) | PG. PUJADES - ROGER DE FLOR (Besós) | PG. PUJADES - WELLINGTON (Llobregat),maybe
